"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"crm-miR-58b-star_st",0.0992352941176473,0.761481481481482,0.886550185220631,0.38276801449804,0.865984345412027,-5.53231948298366
"oan-miR-30b_st",-0.224352941176471,7.89074074074074,-0.886442957753446,0.382824790317426,0.865984345412027,-5.53240807094353
"hp_hsa-mir-1272_st",0.0715882352941175,0.804074074074074,0.886401861822808,0.3828465516228,0.865984345412027,-5.53244202043255
"sme-miR-1175-star_st",0.0632352941176471,0.974814814814815,0.886215672018695,0.382945153704983,0.86611276380288,-5.53259581388912
"bta-miR-381_st",-0.210176470588236,2.65666666666667,-0.886097098311424,0.383007956311747,0.8661601947784,-5.53269374033845
"cin-miR-4056-3p_st",0.0580588235294119,0.535555555555556,0.885821047584135,0.383154192431298,0.866370214054749,-5.53292167448276
"dre-miR-212_st",0.073235294117647,0.841111111111111,0.885737010635432,0.383198717624527,0.866370214054749,-5.53299105021876
"vvi-miR399e_st",-0.0645294117647056,0.64037037037037,-0.885683102130976,0.383227281659048,0.866370214054749,-5.53303555049922
"crm-miR-58a_st",0.114470588235294,0.824074074074074,0.885605899209219,0.383268190898363,0.866370214054749,-5.53309927536261
"hp_mmu-mir-130a_x_st",0.0699411764705878,0.997037037037037,0.885358889516747,0.383399098380171,0.866571523966796,-5.53330312702834
"xtr-miR-181a-1-star_st",-0.084705882352941,0.646666666666667,-0.885183445353466,0.383492095868566,0.866687113845724,-5.53344788469251
"dre-miR-17a-star_st",0.0762352941176468,0.78,0.884963249787117,0.383608835273793,0.86685632906026,-5.53362952814903
"vvi-miR159b_st",0.0830588235294117,0.766296296296296,0.884559654902665,0.383822865601153,0.867175744097824,-5.53396235058911
"ptc-miR399f_st",-0.0825882352941175,0.65,-0.884538763855994,0.383833946424059,0.867175744097824,-5.53397957438858
"mmu-miR-367_st",-0.0792941176470588,0.664074074074074,-0.884456129373683,0.38387777861285,0.867180153170159,-5.53404769932683
"ppy-miR-487a_st",0.195470588235294,1.50407407407407,0.884056199815294,0.384089960698517,0.867564822321752,-5.53437732167881
"ACA17_st",-0.143529411764706,1.32962962962963,-0.883807568585239,0.384221909767715,0.867637626965617,-5.53458217297
"bta-miR-2400_st",0.0956470588235294,0.962222222222222,0.883751220743741,0.384251817735862,0.867637626965617,-5.53462859131972
"zma-miR167a_st",0.0821176470588236,0.963703703703704,0.883727726414223,0.384264288357935,0.867637626965617,-5.53464794470661
"mml-miR-599_st",0.0606470588235293,0.615185185185185,0.883679657565446,0.384289803771934,0.867637626965617,-5.53468753977263
"mmu-miR-1961_st",-0.0713529411764706,0.684074074074074,-0.883484005820562,0.384393668895015,0.867658775273748,-5.53484868024367
"oan-miR-204_st",0.159588235294118,1.23148148148148,0.883474416518672,0.384398760007339,0.867658775273748,-5.53485657721122
"hp_hsa-mir-548s_x_st",0.0704117647058823,0.793333333333333,0.883425216260576,0.384424881887442,0.867658775273748,-5.53489709326362
"oan-miR-18_st",0.357117647058822,4.27185185185185,0.88301711526017,0.384641598940718,0.868053263344155,-5.53523307946969
"rno-miR-188_st",-0.194,2.20185185185185,-0.882888576528706,0.384709874162576,0.868053263344155,-5.53533887405073
"eca-miR-488_st",-0.152411764705882,1.06703703703704,-0.882859288287393,0.384725432131233,0.868053263344155,-5.53536297788432
"ssc-miR-424_st",0.111176470588235,0.99,0.882467425924611,0.384933629143002,0.868409844464211,-5.53568540290044
